Date, open, high,low,close,volume
17-05-2007,145.2646,146.5236,142.9791,145.4099,2566928
16-05-2007,138.7083,142.9404,138.4856,142.3399,841623
15-05-2007,138.8052,139.454,138.0982,138.4081,616206
14-05-2007,156.7018,156.7018,137.1298,138.2919,1329413
11-05-2007,138.4856,139.2603,135.5803,138.5727,1034870
10-05-2007,141.5846,141.9719,137.7108,138.3791,950032
09-05-2007,141.3909,142.1656,138.0982,140.1125,1139871
08-05-2007,142.1075,142.3593,139.6961,140.5193,660331
07-05-2007,143.3277,144.1025,139.2603,140.9938,2413799
04-05-2007,143.6957,144.1703,140.6355,141.8945,1001572
03-05-2007,146.0297,148.073,141.3909,142.185,2321274
30-04-2007,144.2962,147.2015,141.9816,145.3518,1202605
27-04-2007,145.4389,150.1067,143.134,144.9741,2290455
26-04-2007,148.1699,152.9733,144.8772,148.5379,2406185
25-04-2007,145.284,148.7122,145.284,146.969,1572077
24-04-2007,137.5172,146.204,137.5172,143.8894,2358433
23-04-2007,141.3715,141.9719,138.4856,139.0182,977944
20-04-2007,138.6793,142.0591,138.5824,140.0254,1339124
19-04-2007,139.0666,140.2578,136.5681,138.166,1525838
18-04-2007,139.4637,143.4246,139.2797,139.8123,833263
17-04-2007,144.2962,147.3951,140.4418,141.4877,1669146
16-04-2007,141.1972,145.9425,141.1972,145.3227,1050269
13-04-2007,137.3235,140.8098,135.803,140.5483,1149968
12-04-2007,138.2919,138.9892,136.8393,137.4397,1037375
11-04-2007,139.2603,141.4683,138.2919,139.7155,1423179
10-04-2007,136.7424,140.3934,136.5487,139.5605,6791151
09-04-2007,133.6434,137.3622,133.6434,136.2388,1311457
05-04-2007,131.9971,134.5731,131.5419,132.9558,2989526
04-04-2007,132.675,133.8177,129.5954,132.0649,3292528
03-04-2007,131.7066,133.6434,129.9634,131.9196,4982010
02-04-2007,135.5803,138.2919,128.075,129.6244,5166088
30-03-2007,139.454,142.0688,138.6793,140.9551,1431189
29-03-2007,139.454,140.7711,135.3672,138.505,4688338
28-03-2007,143.9088,145.2646,138.4856,139.2216,2398368
26-03-2007,153.1864,153.1864,145.1387,146.0103,1394724
23-03-2007,155.9173,156.3047,151.8499,152.9055,4480146
22-03-2007,151.2689,157.0795,151.0752,156.0142,1594666
21-03-2007,148.9446,150.7847,147.4145,150.3101,727156
20-03-2007,151.0655,151.2495,147.492,149.0802,1067708
19-03-2007,146.233,150.2423,144.8772,149.303,986241
16-03-2007,141.6039,146.0393,141.6039,145.1581,1270353
15-03-2007,147.0078,147.0078,140.2288,140.5871,1012577
14-03-2007,146.233,147.1434,141.2262,144.3252,1739582
13-03-2007,148.1796,150.6878,146.6979,149.7581,705166
12-03-2007,147.2015,150.0486,146.4848,148.0537,1381261
09-03-2007,149.5547,151.4626,144.1025,146.388,1977648
08-03-2007,144.7029,150.3004,144.2962,149.1964,2129081
07-03-2007,142.553,145.652,138.0982,143.4439,1710558
06-03-2007,143.3277,148.9446,138.873,140.6742,4317348
05-03-2007,148.1408,150.068,141.0229,142.6111,2611758
02-03-2007,153.012,153.9805,149.148,150.0099,1143279
01-03-2007,153.2348,157.4668,148.5573,152.8668,1303979
28-02-2007,154.5615,157.0795,146.94,151.8402,2249930
27-02-2007,163.0837,163.4711,158.1447,159.1422,754708
26-02-2007,157.7767,164.4395,154.6003,162.6189,1078270
23-02-2007,162.6963,164.4395,154.5809,157.7767,2500009
